date,open,high,low,close,volume,ha_close,ha_open,ha_high,ha_low,VolumeMA,supertrend,supertrend_trend,final_lower,final_upper,KC1_lower,KC1_middle,KC1_upper,KC2_lower,KC2_middle,KC2_upper
2025-11-25T09:00:00.000000000,5233.0,5244.0,5233.0,5239.0,177.0,5237.25,5236.0,5244.0,5233.0,,,,,,,,,,,
2025-11-25T09:05:00.000000000,5239.0,5240.0,5237.0,5239.0,50.0,5238.75,5236.62,5240.0,5236.62,,,,,,,,,,,
2025-11-25T09:10:00.000000000,5239.0,5242.0,5238.0,5242.0,69.0,5240.25,5237.69,5242.0,5237.69,,,,,,,,,,,
2025-11-25T09:15:00.000000000,5242.0,5243.0,5237.0,5237.0,45.0,5239.75,5238.97,5243.0,5237.0,,,,,,,,,,,
2025-11-25T09:20:00.000000000,5237.0,5239.0,5237.0,5237.0,42.0,5237.5,5239.36,5239.36,5237.0,,,,,,,,,,,
2025-11-25T09:25:00.000000000,5237.0,5237.0,5232.0,5233.0,41.0,5234.75,5238.43,5238.43,5232.0,,,,,,,,,,,
2025-11-25T09:30:00.000000000,5233.0,5235.0,5231.0,5235.0,62.0,5233.5,5236.59,5236.59,5231.0,,,,,,,,,,,
2025-11-25T09:35:00.000000000,5235.0,5240.0,5235.0,5239.0,38.0,5237.25,5235.04,5240.0,5235.0,,,,,,,,,,,
2025-11-25T09:40:00.000000000,5239.0,5240.0,5237.0,5238.0,17.0,5238.5,5236.15,5240.0,5236.15,,,,,,,,,,,
2025-11-25T09:45:00.000000000,5238.0,5238.0,5237.0,5237.0,24.0,5237.5,5237.32,5238.0,5237.0,,5222.11,,5222.11,,,,,,,
2025-11-25T09:50:00.000000000,5237.0,5239.0,5237.0,5237.0,31.0,5237.5,5237.41,5239.0,5237.0,,5223.55,1.0,5223.55,,,,,,,
2025-11-25T09:55:00.000000000,5237.0,5240.0,5237.0,5240.0,40.0,5238.5,5237.46,5240.0,5237.0,,5224.59,1.0,5224.59,,,,,,,
2025-11-25T10:00:00.000000000,5240.0,5240.0,5233.0,5233.0,48.0,5236.5,5237.98,5240.0,5233.0,,5224.59,1.0,5224.59,,,,,,,
2025-11-25T10:05:00.000000000,5233.0,5239.0,5233.0,5236.0,27.0,5235.25,5237.24,5239.0,5233.0,,5224.59,1.0,5224.59,,,,,,,
2025-11-25T10:10:00.000000000,5236.0,5239.0,5236.0,5239.0,9.0,5237.5,5236.24,5239.0,5236.0,,5224.59,1.0,5224.59,,,,,,,
2025-11-25T10:15:00.000000000,5239.0,5240.0,5237.0,5239.0,28.0,5238.75,5236.87,5240.0,5236.87,,5224.59,1.0,5224.59,,,,,,,
2025-11-25T10:20:00.000000000,5239.0,5240.0,5238.0,5240.0,11.0,5239.25,5237.81,5240.0,5237.81,,5225.59,1.0,5225.59,,,,,,,
2025-11-25T10:25:00.000000000,5240.0,5242.0,5239.0,5242.0,51.0,5240.75,5238.53,5242.0,5238.53,,5227.24,1.0,5227.24,,,,,,,
2025-11-25T10:30:00.000000000,5242.0,5243.0,5240.0,5243.0,37.0,5242.0,5239.64,5243.0,5239.64,,5228.59,1.0,5228.59,,,,,,,
