date,open,high,low,close,volume,ha_close,ha_open,ha_high,ha_low,VolumeMA,supertrend,supertrend_trend,final_lower,final_upper,KC1_lower,KC1_middle,KC1_upper,KC2_lower,KC2_middle,KC2_upper
2026-01-12T09:00:00.000000000,293.9,294.9,291.7,293.3,313.0,293.45,293.6,294.9,291.7,,,,,,,,,,,
2026-01-12T09:01:00.000000000,293.3,293.6,293.0,293.4,236.0,293.33,293.52,293.6,293.0,,,,,,,,,,,
2026-01-12T09:02:00.000000000,293.4,293.6,293.3,293.3,127.0,293.4,293.42,293.6,293.3,,,,,,,,,,,
2026-01-12T09:03:00.000000000,293.4,293.5,293.3,293.4,82.0,293.4,293.41,293.5,293.3,,,,,,,,,,,
2026-01-12T09:04:00.000000000,293.3,293.6,293.2,293.6,224.0,293.43,293.41,293.6,293.2,,,,,,,,,,,
2026-01-12T09:05:00.000000000,293.7,293.7,293.2,293.2,105.0,293.45,293.42,293.7,293.2,,,,,,,,,,,
2026-01-12T09:06:00.000000000,293.4,293.5,293.2,293.3,102.0,293.35,293.43,293.5,293.2,,,,,,,,,,,
2026-01-12T09:07:00.000000000,293.3,294.2,293.0,294.2,320.0,293.68,293.39,294.2,293.0,,,,,,,,,,,
2026-01-12T09:08:00.000000000,294.1,294.6,294.1,294.2,385.0,294.25,293.53,294.6,293.53,,,,,,,,,,,
2026-01-12T09:09:00.000000000,294.1,294.1,293.8,293.9,150.0,293.98,293.89,294.1,293.8,,290.66,,290.66,,,,,,,
2026-01-12T09:10:00.000000000,293.9,294.1,293.9,294.1,152.0,294.0,293.93,294.1,293.9,,290.96,1.0,290.96,,,,,,,
2026-01-12T09:11:00.000000000,294.2,294.2,294.1,294.1,36.0,294.15,293.97,294.2,293.97,,291.26,1.0,291.26,,,,,,,
2026-01-12T09:12:00.000000000,294.1,294.2,293.9,294.0,116.0,294.05,294.06,294.2,293.9,,291.39,1.0,291.39,,,,,,,
2026-01-12T09:13:00.000000000,294.0,294.0,293.8,293.8,55.0,293.9,294.05,294.05,293.8,,291.43,1.0,291.43,,,,,,,
2026-01-12T09:14:00.000000000,293.8,293.9,293.6,293.7,88.0,293.75,293.98,293.98,293.6,,291.43,1.0,291.43,,,,,,,
2026-01-12T09:15:00.000000000,293.8,293.8,293.6,293.8,62.0,293.75,293.86,293.86,293.6,,291.47,1.0,291.47,,,,,,,
2026-01-12T09:16:00.000000000,293.7,293.8,293.6,293.7,38.0,293.7,293.81,293.81,293.6,,291.58,1.0,291.58,,,,,,,
2026-01-12T09:17:00.000000000,293.7,293.9,293.7,293.8,94.0,293.77,293.75,293.9,293.7,,291.81,1.0,291.81,,,,,,,
2026-01-12T09:18:00.000000000,293.8,293.9,293.8,293.8,53.0,293.82,293.76,293.9,293.76,,291.99,1.0,291.99,,,,,,,
2026-01-12T09:19:00.000000000,293.8,293.9,293.8,293.9,28.0,293.85,293.79,293.9,293.79,,292.14,1.0,292.14,,,,,,,
2026-01-12T09:20:00.000000000,293.9,293.9,293.6,293.7,87.0,293.77,293.82,293.9,293.6,,292.14,1.0,292.14,,,,,,,
2026-01-12T09:21:00.000000000,293.7,293.8,293.6,293.7,33.0,293.7,293.8,293.8,293.6,,292.14,1.0,292.14,,,,,,,
2026-01-12T09:22:00.000000000,293.8,294.2,293.8,294.2,141.0,294.0,293.75,294.2,293.75,,292.36,1.0,292.36,,,,,,,
2026-01-12T09:23:00.000000000,294.1,294.1,293.8,293.9,139.0,293.98,293.87,294.1,293.8,,292.38,1.0,292.38,,,,,,,
2026-01-12T09:24:00.000000000,293.9,294.0,293.9,294.0,15.0,293.95,293.92,294.0,293.9,,292.5,1.0,292.5,,,,,,,
2026-01-12T09:25:00.000000000,294.0,294.0,293.8,293.8,34.0,293.9,293.94,294.0,293.8,,292.51,1.0,292.51,,,,,,,
2026-01-12T09:26:00.000000000,293.8,293.8,293.6,293.6,74.0,293.7,293.92,293.92,293.6,,292.51,1.0,292.51,,,,,,,
2026-01-12T09:27:00.000000000,293.6,293.7,293.4,293.6,40.0,293.58,293.81,293.81,293.4,,292.51,1.0,292.51,,,,,,,
2026-01-12T09:28:00.000000000,293.4,293.4,293.0,293.0,209.0,293.2,293.69,293.69,293.0,122.0,292.51,1.0,292.51,,,,,,,
2026-01-12T09:29:00.000000000,293.0,293.0,292.9,292.9,68.0,292.95,293.45,293.45,292.9,113.55,292.51,1.0,292.51,,,,,,,
2026-01-12T09:30:00.000000000,293.0,293.5,293.0,293.4,152.0,293.23,293.2,293.5,293.0,110.66,292.51,1.0,292.51,,,,,,,
2026-01-12T09:31:00.000000000,293.4,293.5,293.2,293.2,63.0,293.32,293.21,293.5,293.2,108.45,292.51,1.0,292.51,,,,,,,
2026-01-12T09:32:00.000000000,293.2,293.4,293.2,293.3,54.0,293.27,293.27,293.4,293.2,107.48,292.51,1.0,292.51,,,,,,,
2026-01-12T09:33:00.000000000,293.3,293.7,293.3,293.5,39.0,293.45,293.27,293.7,293.27,101.1,292.51,1.0,292.51,,,,,,,
2026-01-12T09:34:00.000000000,293.6,293.6,293.5,293.5,14.0,293.55,293.36,293.6,293.36,97.97,292.51,1.0,292.51,,,,,,,
2026-01-12T09:35:00.000000000,293.5,293.5,293.4,293.5,49.0,293.48,293.46,293.5,293.4,96.14,292.51,1.0,292.51,,,,,,,
2026-01-12T09:36:00.000000000,293.6,293.6,293.4,293.6,118.0,293.55,293.47,293.6,293.4,89.17,292.51,1.0,292.51,,,,,,,
